rho,ISE_mean,ISE_sd,MSE_mean,MSE_sd,PE_mean,PE_sd
0,0.099101552,0.034303841,0.022899399,0.014264399,0.353918222,0.039866876
0.1,0.100090659,0.033404316,0.024162621,0.014689233,0.350380612,0.042823134
0.2,0.098052947,0.031715029,0.023061507,0.014047426,0.348446445,0.041778915
0.3,0.102202939,0.036807641,0.02400034,0.015058873,0.348941542,0.04757473
0.4,0.103939508,0.042063701,0.023337498,0.016386209,0.355004421,0.052512059
0.5,0.098915536,0.036583813,0.022959743,0.013788809,0.344045002,0.040500371
0.6,0.099206341,0.0368206,0.022788257,0.013848159,0.355537373,0.057350163
0.7,0.106599989,0.046259563,0.0240648,0.018739735,0.356633681,0.059599045
0.8,0.097576503,0.042104358,0.023805029,0.017620152,0.35282443,0.057483795
0.9,0.108894386,0.055806513,0.022856608,0.015824385,0.354038882,0.063888499
